Contractor_Attributes.C_PDS_SubzoneCode,Contractor_Attributes.C_PDS_Subdiscipline,IFC Type.IfcName [Type]
_NotFound
,_NotFound
,,Floor:RC 300_HYD TEMP
,,Floor:RC 305_HYD
,,Floor:RC 375_HYD
,,Floor:RC 400_HYD
,,HYD_ConcreteBeam:350D x 1800W
,,HYD_ConcreteBeam:400D MIN. x 1800W
,,HYD_ConcreteBeam:420D MIN. x 1800W
,,HYD_ConcreteBeam:450D x 1800W
,,HYD_ConcreteBeam:500D x 2700W
,,HYD_ConcreteBeam:500D x 3000W
,,HYD_RHS-C350:150x50x6.0 RHS
,,Floor:RC 170_HYD
,,Floor:RC 2180_HYD
,,Floor:RC 280_HYD
,,Floor:RC 680_HYD
,,Floor:RC 80 SET UP_HYD
,,LG STEPS:LG STEPS
,,LOBBY STAIRS:LOBBY STAIRS
,,Podium Stair:Podium Stair
,,HYD_ConcreteBeam:400D x 1200W
,,HYD_ConcreteBeam:450D x 2500W
,,HYD_ConcreteBeam:500D x 1800W
,,HYD_ConcreteBeam:500D x 400W
,,HYD_PFC-300PLUS:250PFC
,,HYD_RHS-C350:150x100x5.0 RHS
,,HYD_RHS-C350:250x150x9.0 RHS
,,HYD_SHS-C350:100x100x4.0 SHS
,,HYD_SHS-C350:100x100x9.0 SHS
,,HYD_RHS-Column-C350:200x100x10.0 RHS
,,HYD_SHS-Column-C350:150x150x9.0 SHS
,,Floor:RC 550_HYD
,,Floor:RC 650_HYD
,,GR-L1 STAIR:GR-L1 STAIR
,,Basic Wall:RC 800_HYD
,,HYD_ConcreteBeam:250D x 1800W
,,HYD_ConcreteBeam:350D x 2700W
,,HYD_ConcreteBeam:550D x 2430W
,,HYD_ConcreteBeam:550D x 2700W
,,HYD_RHS-C350:200x100x10.0 RHS
,,HYD_ConcRoundColumn:450 DIA
,,HYD_CHS-C350:88.9x4.8 CHS
,,HYD_CPurlinBoxed:C15019
,,HYD_CPurlinBoxed:C25019
,,HYD_ConcreteBeam:350D MIN x 900W
,,HYD_ConcreteBeam:350D x 3000W
,,HYD_ConcreteBeam:400D x 3000W
,,HYD_ConcreteBeam:450D x 900W
,,HYD_ConcreteBeam:550D MIN x 3000W
,,HYD_ConcreteBeam:600D MIN x 3000W
,,HYD_ConcreteBeam:600D x 1200W
,,HYD_ConcreteBeam:600D x 3000W
,,HYD_PFC-300PLUS:150PFC
,,HYD_PFC-300PLUS:200PFC
,,HYD_RHS-C350:400x200x10.0 RHS
,,HYD_SHS-C350:200x200x5.0 SHS
,,HYD_ConcRectangColumn:1500x1500
,,HYD_ConcRoundColumn:1350 DIA
,,Floor:Bondek 160_HYD
,,Floor:Precast 220_HYD
,,Floor:RC 150 HOB_HYD
,,Floor:RC 260_HYD
,,Floor:RC 360_HYD
,,Floor:RC 50 HOB_HYD
,,Floor:RC 90_HYD
,,Basic Wall:RC 100 HOB_HYD
,,Basic Wall:RC 1500_HYD
,,Basic Wall:RC 400 HB3_HYD
,,Basic Wall:RC 465 UPSTAND WALLS
,,HYD_ConcreteBeam:430D x 1200W
,,HYD_ConcreteBeam:600D x 2400W
,,Floor:RC 210_HYD
,,STAIR L1-L2:STAIR L1-L2
,,HYD_ConcRectangColumn:365x700
,,HYD_ConcRectangColumn:450x1200
,,HYD_ConcRoundColumn:1100 DIA
,,HYD_ConcRoundColumn:1300 DIA
,,HYD_ConcRoundColumn:1400 DIA
,,HYD_ConcreteBeam:430D x 900W
,,COLS 62 & C63 INFILLS1:COLS 62 & C63 INFILLS
,,COLS 62 & C63 INFILLS:COLS 62 & C63 INFILLS
,,Concrete Floor.txt:190 X 75 CRUCIFORM
,,HYD_ConcreteBeam:800D x 2430W
,,HYD_EA-300PLUS:90x90x6 EA
,,HYD_EA-300PLUS:90x90x8 EA
,,HYD_UC-300PLUS:200UC46.2
,,HYD_ZPurlin:SZ15015
,,COLUMNS 64 INFILL:COLUMNS 64 INFILL
,,HYD_ConcRectangColumn:700x700
,,HYD_ConcreteBeam:600D x 900W
,,HYD_ConcreteBeam:320D x 1800W
,,HYD_ConcreteBeam:370D x 1200W
,,HYD_ConcRoundColumn:1200 DIA
,,Floor:RC 25 HOB_HYD
,,HYD_ConcreteBeam:300D MIN x 900W
,,HYD_ConcreteBeam:550D x 2400W
,,HYD_ConcreteBeam:400D x 3600W
,,HYD_ConcreteBeam:600D x 3600W
,,HYD_ConcRectangColumn:800x800
,,HYD_ConcRoundColumn:800 DIA
,,HYD_ConcSquareColumn:800x800
,,HYD_ConcRoundColumn:900 DIA
,,Floor:STEEL PLATE 10
,,HYD_FlatBar-300PLUS:250x10mm
,,L19 STAIR FLIGHT 1:L19 STAIR FLIGHT 1
,,L19 STAIR FLIGHT 2:L19 STAIR FLIGHT 2
,,HYD_ConcRectangColumn:350x900
,,stair 2 3d:stair 2 3d
,,stair 3 3d:stair 3 3d
,,stair 1 3d:stair 1 3d
,,stair 2 3d1:stair 2 3d
,,stair 3 3d1:stair 3 3d
,,stair 3d:stair 3d
,,HYD_ConcreteBeam:370D x 900W
,,HYD_ConcreteBeam:550D x 900W
,,Floor:RC 140_HYD
,,Floor:RC 60 HOB_HYD
,,HYD_CPurlin:C15012
,,HYD_CPurlin:SC20015
,,HYD_ConcreteBeam:320D MIN x 900W
,,HYD_ConcreteBeam:370D MIN x 1200W
,,HYD_ConcreteBeam:370D x 3000W
,,HYD_ConcreteBeam:470D MIN x 3000W
,,HYD_ConcreteBeam:470D x 3000W
,,HYD_ConcreteBeam:570D MIN x 3000W
,,HYD_ConcreteBeam:670D MIN x 3000W
,,HYD_ConcreteBeam:670D x 3000W
,,HYD_ConcreteBeam:700D x 3000W
,,HYD_EA-300PLUS:75x75x8 EA
,,HYD_ConcRectangColumn:160x650
,,HYD_ConcRectangColumn:400x920
,,HYD_EA-Column-300PLUS:75x75x8 EA
,,HYD_PFC-Column-300PLUS:200PFC
,,HYD_SHS-Column-C350:75x75x4.0 SHS
,,HYD_UB-Column-300PLUS:250UB31.4
,,Floor:RC 100 HOB_HYD
,,Floor:RC 100 HYD
,,Floor:RC 185_HYD
,,HYD_ConcreteBeam:600D x 250W
,,HYD_ConcreteBeam:350D MIN x 1800W
,,HYD_ConcreteBeam:500D MIN x 3000W
,,HYD_FlatBar-300PLUS:50x8mm
,,HYD_UC-300PLUS:250UC72.9
,,Basic Wall:RC 100 UPSTAND WALLS
01_006
,3_300
,,HYD_ConcreteBeam:200D x 600W
,,HYD_ConcRectangColumn:300x600
,,HYD_ConcRectangColumn:350x800
,,HYD_ConcRectangColumn:500x900
,,HYD_ConcRoundColumn:1500 DIA
,,HYD_ConcSquareColumn:500x500
,,HYD_ConcRectangColumn:1100x1600
,,HYD_ConcRectangColumn:300x800
,,HYD_ConcRectangColumn:400x800
,3_316
,,Floor:RC 125_HYD
,,Floor:RC 200_HYD
,,Floor:RC 300_HYD
,,Floor:RC 150_HYD
,,DIESEL ROOM STAIR:DIESEL ROOM STAIR
,2_202
,,Foundation Slab:600 Foundation Slab
,,HYD_PadFooting:PF1 - 4000 x 4000 x 1800
,,HYD_PadFooting:PF12 - 1200 x 1200 x 520-650D
,,HYD_PadFooting:PF2 - 3600 x 3600 x 1800
,,HYD_PadFooting:PF3 - 1800 x 1700 x 1000D
,,HYD_PadFooting:PF4 - 1200 x 1200 x 800D
,,HYD_PadFooting:PF5 - 2300 x 800 x 1000D
,,HYD_PadFooting:PF7 - 1300 x 1300 x 600D
,,Foundation Slab:1200 Foundation Slab
,,Foundation Slab:500 Foundation Slab
,,HYD_PadFooting:PF10 - 1400 x 600 x 600D
,,HYD_PadFooting:PF6 - 2700 x 2700 x 1000D
,,HYD_PadFooting:PF8 - 1500 x 1500 x 600D
,4_401
,,Basic Wall:RC 200 SLAB FOLD_HYD
,,Basic Wall:RC 200_HYD
,,Basic Wall:RC 150_HYD
,,Basic Wall:RC 250 DOWNTURN BEAM
,,Basic Wall:RC 300 SLAB FOLD_HYD
,,Basic Wall:RC 250_HYD
,,Basic Wall:RC 400_HYD
,,Basic Wall:RC 450_HYD
,,Basic Wall:RC 300 SW CRADLE_HYD
,4_414
,,Basic Wall:Brick 190_HYD
00_00
,2_202
,,HYD_PadFooting:PF2 - 3600 x 3600 x 1800
,2_200
,,Circular Mullion:500 DIA PILE
,3_316
,,Floor:RC 300_HYD TEMP
01_009
,4_401
,,Basic Wall:RC 200_HYD
,,Basic Wall:RC 250_HYD
,,Basic Wall:RC 300_HYD
,,Basic Wall:RC 350_HYD
,,Basic Wall:RC 400_HYD
,,Basic Wall:RC 450_HYD
,,Basic Wall:RC 250 DOWNTURN BEAM
,,Basic Wall:RC 300 SW CRADLE_HYD
,,Basic Wall:RC 300 SLAB FOLD_HYD
,,Basic Wall:RC 250 SLAB FOLD_HYD
,,Basic Wall:RC 260 SLAB FOLD_HYD
,,Basic Wall:RC 400 SLAB FOLD_HYD
,,Basic Wall:RC 190 SLAB FOLD_HYD
,,Basic Wall:RC 2400 SLAB FOLD_HYD
,,Basic Wall:RC 250 UPSTAND WALLS
,,Basic Wall:RC 200 SLAB FOLD_HYD
,,Basic Wall:RC 200 UPSTAND WALLS
,4_414
,,Basic Wall:Block 190_HYD
,,Basic Wall:Brick 250_HYD
,,Basic Wall:Brick 350_HYD
,,Basic Wall:Brick 230_HYD
,,Basic Wall:Brick 190_HYD
,,Basic Wall:Block 140_HYD
,3_316
,,Floor:RC 200_HYD
,,Floor:RC 125_HYD
,,Floor:RC 180_HYD
,,Floor:RC 220_HYD
,,Floor:RC 250_HYD
,,Floor:RC 300_HYD
,,Floor:RC 585_HYD
,,Floor:RC 320_HYD
,,Floor:RC 600_HYD
,,Floor:Bondek 120_HYD
,,Floor:Bondek Substation 180_HYD
,,Floor:RC 150_HYD
,,Floor:RC 230_HYD
,,Floor:RC 250 PRECAST_HYD
,,Floor:RC 350 (330 MIN)_HYD
,,Floor:RC 350_HYD
,,Floor:RC 500 MIN.
,,Floor:RC 500_HYD
,,Floor:RC 510_HYD
,,SUBSTATION STAIR F2:SUBSTATION STAIR F2
,,FIRE EXIT ON PAC HWY:FIRE EXIT ON PAC HWY
,,SUBSTATION STAIR GROUND:SUBSTATION STAIR GROUND
,,Floor:RC 300_HYD TEMP
,,Floor:RC 400_HYD
,,LG STEPS:LG STEPS
,2_200
,,HYD_2_250PFC Pile:2/PFC 1
,,HYD_2_250PFC Pile:2/PFC 2
,,HYD_CHS-C350:914 Dia Stormwater pipe
,3_300
,,HYD_ConcreteBeam:200D x 600W
,,HYD_ConcreteBeam:300D x 1800W
,,HYD_ConcreteBeam:300D x 900W
,,HYD_ConcreteBeam:350D MIN x 2000W
,,HYD_ConcreteBeam:350D x 1000W
,,HYD_ConcreteBeam:350D x 2000W
,,HYD_ConcreteBeam:350D x 900W
,,HYD_ConcreteBeam:400D x 2000W
,,HYD_ConcreteBeam:400W x DEPTH VARIES
,,HYD_ConcreteBeam:300D MIN x 2000W
,,HYD_ConcreteBeam:350D x 1200W R.C.
,,HYD_ConcreteBeam:350D x 1800W R.C.
,,HYD_ConcreteBeam:250D x 1000W
,,HYD_ConcreteBeam:280D x 2400W
,,HYD_ConcreteBeam:300D x 1000W
,,HYD_ConcreteBeam:300D x 1200W
,,HYD_ConcreteBeam:350D x 1200W
,,HYD_ConcreteBeam:350D x 2400W
,,HYD_ConcreteBeam:350D x 2640W
,,HYD_ConcreteBeam:400D MIN. x 2000W
,,HYD_ConcreteBeam:400D x 2700W
,,HYD_ConcreteBeam:400D x 900W
,,HYD_ConcreteBeam:450D x 650W CAPPING BEAM
,,HYD_ConcreteBeam:500D x 2400W
,,HYD_ConcreteBeam:650D x 400W
,,HYD_ConcRectangColumn:300x600
,,HYD_ConcRectangColumn:300x800
,,HYD_ConcRectangColumn:400x400
,,HYD_ConcRectangColumn:400x800
,,HYD_ConcRectangColumn:600x800
,,HYD_SHS-Column-C350:89x89x5.0 SHS
,,HYD_ConcreteBeam:1240D x 250W
,,HYD_ConcreteBeam:1240D x 300W
,,HYD_ConcreteBeam:1500D x 250W
,,HYD_ConcreteBeam:270D x 900W
,,HYD_ConcreteBeam:350D MIN x 2400W
,,HYD_ConcreteBeam:400D x 2400W MIN
,,HYD_ConcreteBeam:450D x 2400W
,,HYD_ConcreteBeam:450D x 900W CAPPING BEAM
,,FABRICATED T:FABRICATED T SECTION
,,HYD_RHS-Column-C350:400x200x10.0 RHS
,,HYD_ConcreteBeam:300D MIN x 2400W R.C.
,,HYD_ConcreteBeam:400D x 2400W
,,HYD_ConcreteBeam:700D x 2400W
,,HYD_ConcreteBeam:850D x 2400W
,,FABRICATED T 160 x 16 SECTION:FABRICATED T 160 x 45.5 SECTION
,2_202
,,Foundation Slab:400 Foundation Slab
,3_308
,,HYD_UB-300PLUS:360UB56.7
,,HYD_UB-300PLUS:250UB31.4
,4_404
,,Basic Wall:Precast 250_HYD
01_008
,4_401
,,Basic Wall:RC 200_HYD
,,Basic Wall:RC 250_HYD
,,Basic Wall:RC 300_HYD
,,Basic Wall:RC 350_HYD
,,Basic Wall:RC 400_HYD
,,Basic Wall:RC 450_HYD
,,Basic Wall:RC 300 SLAB FOLD_HYD
,,Basic Wall:RC 280 SLAB FOLD_HYD
,,Basic Wall:RC Upstand 150_HYD
